Week,Domain,Activity1,Activity2,Activity3,Activity4
1,Fine Motor,Shape Tracing,Peg Board Insert,Ring Stack Toy,Paper Tear Play
2,Speech & Language,Nursery Rhyme Actions,Face Talking,Where Is The Toy,Word Expansion
3,Cognitive,Pattern Copy,Cause Effect Toy,Stack And Knock,Light Switch Game
4,Social & Emotional,Sharing Snack,Family Photo Talk,Name Response,Dress Up Play
5,Sensory,Cold Spoon Touch,Feather Touch,Ice Touch,Sound Shake
6,Self Help,Brushing Teeth,Hand Washing,Laundry Help,Finger Feeding
7,Gross Motor,Follow the Leader,Ball Throw,Run and Stop Game,Push Walker Practice
8,Fine Motor,Ring Stack Toy,Sponge Squeeze,Spoon Transfer,Flip Book Pages
9,Speech & Language,Describe The Toy,Echo Word Game,Question Game,Word Expansion
10,Cognitive,Cup Hide Game,Toy Sequence,Pattern Clap,Pattern Copy
11,Social & Emotional,Clap Together,Give and Take,Care For Teddy,Help Carry Toy
12,Sensory,Texture Path Crawl,Water Pouring,Bubble Pop,Feather Touch
13,Self Help,Brushing Teeth,Shoes Near Door,Toy Cleanup,Toy Shelf Return
14,Gross Motor,Pillow Stepping Path,Tummy Time,Step Over Objects,Jump and Land
15,Fine Motor,Flip Book Pages,Shape Tracing,Block Stacking,Sponge Squeeze
16,Speech & Language,Object Naming,Animal Sound Game,Question Game,Guess The Sound
17,Cognitive,Peekaboo,Sound Guess,Pattern Clap,Shadow Matching
18,Social & Emotional,Pretend Cooking,Mirror Smile,Pretend Feeding,Hug Game
19,Sensory,Ice Touch,Bottle Sound Shake,Water Splash,Wind Fan Play
20,Self Help,Shoes Near Door,Laundry Help,Hold Napkin,Nap Blanket Fold
21,Gross Motor,Pillow Stepping Path,Tummy Time,Toy Push Across Floor,Jump and Land
22,Fine Motor,Cloth Peg Pinch,Paper Tear Play,Spoon Transfer,Block Stacking
23,Speech & Language,Talking Mirror,Two Word Prompt,Story Retelling,Body Part Naming
24,Cognitive,Sorting Basket,Cup Hide Game,High Contrast Cards,Shadow Matching
25,Social & Emotional,Mirror Smile,Thank You Practice,Group Song Time,Wave Hello
26,Sensory,Texture Walk,Rolling Ball Feel,Rice Bin Dig,Finger Sand Drawing
27,Self Help,Toy Shelf Return,Simple Dressing,Place Book On Shelf,Put Cup On Table
28,Gross Motor,Toy Push Across Floor,Hop Like Bunny,Obstacle Walk,Chase the Balloon
29,Fine Motor,Finger Painting,Tape Pull Game,Pipe Cleaner Threading,Large Bead Threading
30,Speech & Language,Describe The Toy,Face Talking,Two Word Prompt,Object Naming
31,Cognitive,Shadow Matching,Sound Guess,Cause Effect Toy,Find The Pair
32,Social & Emotional,Wave Hello,Family Photo Talk,Help Carry Toy,Emotion Story
33,Sensory,Fabric Rub Game,Sand Play,Corn Flour Play,Sound Shake
34,Self Help,Pick Up Cloth,Finger Feeding,Trash In Bin,Hand Washing
35,Gross Motor,Cushion Climb,Tiptoe Walk,Stair Crawling,Follow the Leader
36,Fine Motor,Puzzle Placement,Sticker Peeling,Cloth Peg Pinch,Sponge Squeeze
37,Speech & Language,Rhyming Sounds,Song Repetition,Nursery Rhyme Actions,Picture Book Talk
38,Cognitive,Stack And Knock,Stack Order Game,Cup Hide Game,Which Is Bigger
39,Social & Emotional,Smile Exchange,Toy Sharing,Role Play Shopping,Help Carry Toy
40,Sensory,Foam Play,Bubble Pop,Bottle Sound Shake,Sand Play
41,Self Help,Toy Shelf Return,Pick Up Cloth,Hat On Off,Shoe Placement
42,Gross Motor,Ball Kick Game,Tunnel Crawl,Mini Hurdle Walk,Step Over Objects
43,Fine Motor,Sticker Peeling,Rubber Band Board,Sponge Squeeze,Pom Pom Pick Up
44,Speech & Language,Rhyming Sounds,Body Part Naming,Picture Pointing,Who Is That Game
45,Cognitive,Shape Sorting,Sorting Basket,Shadow Matching,Cup Hide Game
46,Social & Emotional,Wave Hello,Sharing Snack,Thank You Practice,Give and Take
47,Sensory,Scent Smell Game,Fabric Rub Game,Grass Walk,Soft Brush Touch
48,Self Help,Spoon In Sink,Hand Washing,Toy Shelf Return,Towel Drying
49,Gross Motor,Pillow Stepping Path,Tummy Time,Ball Dribble Push,Cushion Climb
50,Fine Motor,Large Bead Threading,Rattle Grip,Pipe Cleaner Threading,Peg Board Insert
51,Speech & Language,Repeat After Me,Where Is The Toy,Sound Search,Two Word Prompt
52,Cognitive,Simple Puzzle,Build Tower Challenge,Pattern Copy,Two Step Task
53,Social & Emotional,Pretend Cooking,Clap Together,Goodbye Wave,High Five Game
54,Sensory,Sound Shake,Playdough Press,Light Shadow Play,Water Pouring
55,Self Help,Snack Plate Carry,Wipe Table Try,Put Toys In Box,Toy Cleanup
56,Gross Motor,Toy Push Across Floor,Crawling Toy Chase,Jump and Land,Mini Hurdle Walk
57,Fine Motor,Lid Open Close,Large Bead Threading,Pom Pom Pick Up,Playdough Squeeze
58,Speech & Language,Simple Choice Question,Sing and Pause,Picture Pointing,Animal Sound Game
