Week,Domain,Activity1,Activity2,Activity3,Activity4
1,Fine Motor,Peg Board Insert,Stacking Cups,Button Drop Jar,Shape Tracing
2,Speech & Language,Guess The Sound,Object Naming,Toy Phone Conversation,Echo Word Game
3,Cognitive,Counting Objects,Matching Pictures,Shadow Matching,Cup Hide Game
4,Social & Emotional,Pretend Doctor Visit,Emotion Story Talk,Group Song Time,Care For Teddy
5,Sensory,Finger Sand Drawing,Ice Touch,Warm Water Dip,Wind Fan Play
6,Self Help,Towel Drying,Snack Plate Carry,Put Cup On Table,Finger Feeding
7,Gross Motor,Tunnel Crawl,Cushion Climb,Balance Line Walk,Marching Game
8,Fine Motor,Crayon Scribbling,Stacking Cups,Lid Open Close,Sticker Peeling
9,Speech & Language,Word Expansion Game,Sing and Pause Game,Sound Search Game,Body Part Naming
10,Cognitive,Find The Red Toy,Stack And Knock Game,Matching Pictures,Shadow Matching
11,Social & Emotional,Care For Teddy,Friend Doll Play,Group Song Time,Wave Hello Game
12,Sensory,Sand Play,Soft Brush Touch,Sound Shake,Corn Flour Play
13,Self Help,Nap Blanket Fold,Toy Cleanup,Put Spoon In Sink,Snack Plate Carry
14,Gross Motor,Supported Sitting Play,Hop Like Bunny,Follow the Leader Walk,Furniture Cruising
15,Fine Motor,Flip Book Pages,Puzzle Placement,Lid Open Close,Sponge Squeeze Water
16,Speech & Language,Toy Phone Conversation,Rhyming Sounds,Song Repetition,Where Is The Toy
17,Cognitive,Stack And Knock Game,Follow Two Step Task,Treasure Hunt,Toy Sequence Game
18,Social & Emotional,Happy Dance Together,Care For Teddy,Mirror Smile,Hug Game
19,Sensory,Water Splash Play,Foam Play,Rice Bin Dig,Corn Flour Play
20,Self Help,Wipe Table Try,Put Cup On Table,Spoon Eating,Put Spoon In Sink
21,Gross Motor,Supported Sitting Play,Toy Push Across Floor,Obstacle Walk,Backward Walking
22,Fine Motor,Sponge Squeeze Water,Tape Pull Game,Coin Slot Game,Shape Tracing
23,Speech & Language,Object Request Game,Nursery Rhyme Actions,Describe The Toy,Face Talking
24,Cognitive,Pattern Clap Game,Peekaboo,Object Category Sort,Build Tower Challenge
25,Social & Emotional,Clap Together,Laugh Together Game,Mirror Smile,Group Song Time
26,Sensory,Foam Play,Light Shadow Play,Scent Smell Game,Warm Water Dip
27,Self Help,Open Lunch Box,Fold Small Cloth,Hand Washing,Hat On Off
28,Gross Motor,Kick Rolling Ball,Backward Walking,Hop Like Bunny,Toy Push Across Floor
29,Fine Motor,Cloth Peg Pinch,Velcro Pull Game,Sticker Peeling,Block Stacking
30,Speech & Language,Sound Search Game,Guess The Sound,Who Is That Game,Action Word Game
31,Cognitive,Cause Effect Toy,Find The Pair,Container Fill Empty,Memory Match
32,Social & Emotional,Family Photo Talk,Goodbye Wave,Greeting Practice,Smile Exchange
33,Sensory,Ice Touch,Texture Walk,Finger Sand Drawing,Texture Path Crawl
34,Self Help,Snack Plate Carry,Place Book On Shelf,Simple Dressing,Toy Shelf Return
35,Gross Motor,Ball Kick Game,Follow the Leader Walk,Ball Dribble Push,Bubble Stomp
36,Fine Motor,Sticker Peeling,Lid Open Close,Spoon Transfer,Ring Stack Toy
37,Speech & Language,Question Game,Describe The Toy,Sound Search Game,Simple Choice Question
38,Cognitive,Color Sorting,Peekaboo,Sound Direction Guess,Follow Two Step Task
39,Social & Emotional,Emotion Story Talk,Role Play Shopping,Wave Hello Game,Hug Game
40,Sensory,Bottle Sound Shake,Bubble Pop,Sound Shake,Warm Water Dip
41,Self Help,Chair Sitting,Put Cup On Table,Put Toys In Box,Laundry Basket Help
42,Gross Motor,Push Walker Practice,Stair Crawling,Follow the Leader Walk,Hop Like Bunny
43,Fine Motor,Paper Crumple Game,Ring Stack Toy,Stacking Cups,Playdough Squeeze
44,Speech & Language,Describe The Toy,Question Game,Object Naming,Nursery Rhyme Actions
45,Cognitive,Counting Objects,Cup Hide Game,Stack And Knock Game,Shadow Matching
46,Social & Emotional,Emotion Story Talk,Ball Turn Taking,Group Song Time,Pretend Cooking
47,Sensory,Vibration Toy Touch,Texture Walk,Leaf Touch Game,Baby Massage
48,Self Help,Simple Dressing,Shoe Placement,Place Shoes Near Door,Toy Cleanup
49,Gross Motor,Tunnel Crawl,Hop Like Bunny,Kick Rolling Ball,Tummy Time
50,Fine Motor,Large Bead Threading,Rubber Band Stretch Board,Playdough Squeeze,Coin Slot Game
51,Speech & Language,Song Repetition,Picture Book Talk,Nursery Rhyme Actions,Face Talking
