Week,Domain,Activity1,Activity2
1,Fine Motor,Shape Tracing,Peg Board Insert
2,Speech & Language,Nursery Rhyme Actions,Face Talking
3,Cognitive,Pattern Copy,Cause Effect Toy
4,Social & Emotional,Sharing Snack,Family Photo Talk
5,Sensory,Cold Spoon Touch,Feather Touch
6,Self Help,Brushing Teeth,Hand Washing
7,Gross Motor,Follow the Leader,Ball Throw
8,Fine Motor,Ring Stack Toy,Sponge Squeeze
9,Speech & Language,Describe The Toy,Echo Word Game
10,Cognitive,Cup Hide Game,Toy Sequence
11,Social & Emotional,Clap Together,Give and Take
12,Sensory,Texture Path Crawl,Water Pouring
13,Self Help,Brushing Teeth,Shoes Near Door
14,Gross Motor,Pillow Stepping Path,Tummy Time
15,Fine Motor,Flip Book Pages,Shape Tracing
16,Speech & Language,Object Naming,Animal Sound Game
17,Cognitive,Peekaboo,Sound Guess
18,Social & Emotional,Pretend Cooking,Mirror Smile
19,Sensory,Ice Touch,Bottle Sound Shake
20,Self Help,Shoes Near Door,Laundry Help
21,Gross Motor,Pillow Stepping Path,Tummy Time
22,Fine Motor,Cloth Peg Pinch,Paper Tear Play
23,Speech & Language,Talking Mirror,Two Word Prompt
24,Cognitive,Sorting Basket,Cup Hide Game
25,Social & Emotional,Mirror Smile,Thank You Practice
26,Sensory,Texture Walk,Rolling Ball Feel
27,Self Help,Toy Shelf Return,Simple Dressing
28,Gross Motor,Toy Push Across Floor,Hop Like Bunny
29,Fine Motor,Finger Painting,Tape Pull Game
30,Speech & Language,Describe The Toy,Face Talking
31,Cognitive,Shadow Matching,Sound Guess
32,Social & Emotional,Wave Hello,Family Photo Talk
33,Sensory,Fabric Rub Game,Sand Play
34,Self Help,Pick Up Cloth,Finger Feeding
35,Gross Motor,Cushion Climb,Tiptoe Walk
36,Fine Motor,Puzzle Placement,Sticker Peeling
37,Speech & Language,Rhyming Sounds,Song Repetition
38,Cognitive,Stack And Knock,Stack Order Game
39,Social & Emotional,Smile Exchange,Toy Sharing
40,Sensory,Foam Play,Bubble Pop
41,Self Help,Toy Shelf Return,Pick Up Cloth
42,Gross Motor,Ball Kick Game,Tunnel Crawl
43,Fine Motor,Sticker Peeling,Rubber Band Board
44,Speech & Language,Rhyming Sounds,Body Part Naming
45,Cognitive,Shape Sorting,Sorting Basket
46,Social & Emotional,Wave Hello,Sharing Snack
47,Sensory,Scent Smell Game,Fabric Rub Game
48,Self Help,Spoon In Sink,Hand Washing
49,Gross Motor,Pillow Stepping Path,Tummy Time
50,Fine Motor,Large Bead Threading,Rattle Grip
51,Speech & Language,Repeat After Me,Where Is The Toy
52,Cognitive,Simple Puzzle,Build Tower Challenge
53,Social & Emotional,Pretend Cooking,Clap Together
54,Sensory,Sound Shake,Playdough Press
55,Self Help,Snack Plate Carry,Wipe Table Try
56,Gross Motor,Toy Push Across Floor,Crawling Toy Chase
57,Fine Motor,Lid Open Close,Large Bead Threading
58,Speech & Language,Simple Choice Question,Sing and Pause
59,Cognitive,Find The Pair,Color Sorting
60,Social & Emotional,Tickle Game,Pretend Cooking
61,Sensory,Water Drip Watch,Texture Path Crawl
62,Self Help,Sock Removal,Place Book On Shelf
63,Gross Motor,Stair Crawling,Balance Line Walk
64,Fine Motor,Rattle Grip,Sticker Peeling
65,Speech & Language,Simple Choice Question,Face Talking
66,Cognitive,Treasure Hunt,Find The Pair
67,Social & Emotional,Ball Turn Taking,Friend Doll Play
68,Sensory,Baby Massage,Bubble Catch
69,Self Help,Put Cup On Table,Brushing Teeth
70,Gross Motor,Toy Push Across Floor,Follow the Leader
71,Fine Motor,Sticker Peeling,Large Bead Threading
72,Speech & Language,Name That Toy,Object Naming
73,Cognitive,Hidden Toy Search,Shape Sorting
74,Social & Emotional,Help Carry Toy,Give and Take
75,Sensory,Playdough Press,Grass Walk
76,Self Help,Put Toys In Box,Trash In Bin
77,Gross Motor,Tummy Time,Push Walker Practice
78,Fine Motor,Velcro Pull Game,Paper Crumple Game
79,Speech & Language,Object Request Game,Word Expansion
80,Cognitive,Simple Puzzle,Shadow Matching
81,Social & Emotional,Emotion Face Game,Name Response
82,Sensory,Texture Basket,Water Drip Watch
83,Self Help,Toy Shelf Return,Fold Small Cloth
84,Gross Motor,Rolling Reach,Stair Crawling
85,Fine Motor,Paper Tear Play,Spoon Transfer
86,Speech & Language,Guess The Sound,Describe The Toy
87,Cognitive,Build Tower Challenge,Shape Sorting
88,Social & Emotional,Help Carry Toy,Emotion Story
89,Sensory,Bubble Catch,Ice Touch
90,Self Help,Snack Plate Carry,Carry Small Bag
91,Gross Motor,Push Walker Practice,Animal Walk Game
92,Fine Motor,Button Push Toy,Large Bead Threading
93,Speech & Language,Animal Sound Game,Who Is That Game
94,Cognitive,Simple Puzzle,Pattern Clap
95,Social & Emotional,Clap Together,High Five Game
96,Sensory,Rolling Ball Feel,Texture Walk
97,Self Help,Put Toys In Box,Spoon In Sink
98,Gross Motor,Hop Like Bunny,Backward Walking
99,Fine Motor,Paper Crumple Game,Block Stacking
100,Speech & Language,Rhyming Sounds,Object Naming
101,Cognitive,Stack Order Game,Shadow Matching
102,Social & Emotional,Hug Game,Goodbye Wave
103,Sensory,Soft Brush Touch,Vibration Toy
104,Self Help,Toy Shelf Return,Laundry Help
105,Gross Motor,Hop Like Bunny,Stair Crawling
106,Fine Motor,Sponge Squeeze,Cup Drop Game
107,Speech & Language,Repeat After Me,Name That Toy
108,Cognitive,Shadow Matching,Matching Pictures
109,Social & Emotional,Goodbye Wave,Dress Up Play
110,Sensory,Water Splash,Bottle Sound Shake
111,Self Help,Trash In Bin,Put Toys In Box
112,Gross Motor,Hop Like Bunny,Ball Kick Game
113,Fine Motor,Sorting Small Objects,Tape Pull Game
114,Speech & Language,Body Part Naming,Animal Sound Game
115,Cognitive,Peekaboo,Two Step Task
116,Social & Emotional,Goodbye Wave,Family Photo Talk
117,Sensory,Playdough Press,Wind Fan Play
118,Self Help,Hold Napkin,Hand Washing
119,Gross Motor,Tiptoe Walk,Ball Kick Game
120,Fine Motor,Sorting Small Objects,Stacking Cups
121,Speech & Language,Simple Choice Question,Talking Mirror
122,Cognitive,What Is Missing,Color Sorting
123,Social & Emotional,Tickle Game,Mirror Smile
124,Sensory,Warm Water Dip,Bubble Catch
125,Self Help,Carry Small Bag,Water Bottle Drink
126,Gross Motor,Balance Line Walk,Supported Sitting
127,Fine Motor,Block Stacking,Tape Pull Game
128,Speech & Language,Simple Choice Question,Object Naming
129,Cognitive,Find The Pair,Pattern Clap
130,Social & Emotional,Friend Doll Play,Goodbye Wave
131,Sensory,Corn Flour Play,Grass Walk
132,Self Help,Shoes Near Door,Put Cup On Table
133,Gross Motor,Toy Push Across Floor,Follow the Leader
134,Fine Motor,Cloth Peg Pinch,Finger Painting
135,Speech & Language,Question Game,Who Is That Game
136,Cognitive,Memory Match,Treasure Hunt
137,Social & Emotional,Happy Dance,Ball Turn Taking
138,Sensory,Feather Touch,Fabric Rub Game
139,Self Help,Fold Small Cloth,Toy Shelf Return
140,Gross Motor,Obstacle Walk,Stair Crawling
141,Fine Motor,Button Drop Jar,Cup Drop Game
142,Speech & Language,Picture Pointing,Animal Sound Game
143,Cognitive,Cup Hide Game,What Is Missing
144,Social & Emotional,Thank You Practice,Emotion Face Game
145,Sensory,Bubble Pop,Feather Touch
146,Self Help,Hold Napkin,Wipe Table Try
147,Gross Motor,Obstacle Walk,Ball Kick Game
148,Fine Motor,Toy Screw Turn,Large Bead Threading
149,Speech & Language,Who Is That Game,Word Expansion
150,Cognitive,Memory Match,Counting Objects
151,Social & Emotional,Care For Teddy,Laugh Together
152,Sensory,Playdough Press,Scent Smell Game
153,Self Help,Put Cup On Table,Laundry Help
154,Gross Motor,Ball Dribble Push,Tiptoe Walk
155,Fine Motor,Rubber Band Board,Sticker Peeling
156,Speech & Language,Object Request Game,Picture Book Talk
