id,Activity,Domain,Description (Detailed Steps),Tools (Column E),Toy Photo (Col H),Activity Photo (Col I)
1,Tummy Time,Gross Motor,1. Lay a colorful mat on a flat floor. 2. Place the child on their belly. 3. Put a mirror or high-contrast toy in front of them to encourage neck lifting.,"Padded Play Mat, Floor Mirror",[Image: Colorful Foam Mat],[Image: Baby lifting head on tummy]
2,Rolling Reach,Gross Motor,1. Lay the child on their back. 2. Shake a rattle to one side of their head. 3. Move the rattle slowly toward the floor to guide their body to roll over to reach it.,Bright plastic rattle,[Image: Rattle with beads],[Image: Infant reaching while rolling]
3,Supported Sitting,Gross Motor,1. Sit the child on a firm surface. 2. Place supportive pillows around their back and sides. 3. Place a toy in front of them to encourage staying upright.,Nursing cushion or firm pillows,[Image: U-shaped pillow],[Image: Baby sitting with pillows]
4,Crawling Toy Chase,Gross Motor,"1. Get into a crawling position with the child. 2. Roll a ball just out of their reach. 3. Cheer as they move forward to ""catch"" the ball. ",Colorful rolling ball,[Image: Textured rubber ball],[Image: Child crawling toward ball]
5,Furniture Cruising,Gross Motor,1. Place a toy at the far end of a sturdy sofa. 2. Help the child stand and hold the furniture. 3. Encourage side-steps toward the toy.,Sturdy sofa or low table,[Image: Wooden toy car],[Image: Child walking along sofa]
6,Push Walker Practice,Gross Motor,1. Position the child behind a stable walker. 2. Assist their grip on the handle. 3. Encourage them to push it forward toward you.,Child-sized push walker,[Image: Walker with wheels],[Image: Child pushing a walker]
7,Ball Kick Game,Gross Motor,1. Place a soft ball in front of the child's feet. 2. Demonstrate a kicking motion. 3. Hold their hand for balance as they try to swing their leg at the ball.,Large soft plush ball,[Image: Soft stuffed ball],[Image: Child swinging leg at ball]
8,Balance Line Walk,Gross Motor,1. Place a strip of colored tape on the floor. 2. Hold the child's hands. 3. Guide them to walk one foot in front of the other along the line.,Colored painter's tape,[Image: Roll of blue tape],[Image: Child walking on tape line]
9,Cushion Climb,Gross Motor,1. Stack several firm sofa cushions on a carpeted floor. 2. Place a toy on top of the stack. 3. Help the child crawl up the cushions to retrieve it.,Firm sofa cushions,[Image: Square fabric cushions],[Image: Child climbing over pillows]
10,Jump and Land,Gross Motor,"1. Stand on a flat, soft surface. 2. Hold the child’s hands for support. 3. Count ""1, 2, 3, Jump!"" and encourage them to bend their knees and hop off the floor. ",Soft carpet or play mat,[Image: Thick foam floor mat],[Image: Child hopping with parent]
11,Stair Crawling,Gross Motor,1. Place a toy two steps up on a staircase. 2. Support the child at the hips. 3. Encourage them to reach for the next step and pull their knees up.,"Carpeted stairs, small toy",[Image: Plush teddy bear],[Image: Child crawling up steps]
12,Tunnel Crawl,Gross Motor,1. Set up a play tunnel or a row of open boxes. 2. Sit at the far end and call the child’s name. 3. Encourage them to crawl through the dark space to find you.,Pop-up fabric tunnel,[Image: Multi-color play tunnel],[Image: Child peering through tunnel]
13,Dance Movement,Gross Motor,"1. Play upbeat music with a clear rhythm. 2. Hold the child's hands and bounce or sway. 3. Encourage them to spin, clap, or wiggle their hips to the beat. ",Music player or speaker,[Image: Small portable speaker],[Image: Parent and child dancing]
14,Ball Throw,Gross Motor,1. Stand a short distance from the child. 2. Demonstrate an overhand or underhand throw with a soft ball. 3. Encourage them to throw the ball toward a target like a basket.,"Soft rubber ball, laundry basket",[Image: Lightweight ball],[Image: Child throwing ball into bin]
15,Obstacle Walk,Gross Motor,1. Arrange pillows and toys in a path. 2. Guide the child by the hand through the path. 3. Encourage them to step over the pillows and weave through the toys.,"Pillows, small toys, boxes",[Image: Set of scattered blocks],[Image: Child stepping over a pillow]
16,Animal Walk Game,Gross Motor,"1. Call out an animal (e.g., ""Bear""). 2. Show the child how to crawl on hands and feet like a bear. 3. Change to a ""Frog"" and show them how to squat and hop. ",Clear floor space,[Image: Animal picture book],[Image: Child hopping like a frog]
17,Hop Like Bunny,Gross Motor,"1. Place your hands on top of your head like ears. 2. Demonstrate short, quick hops. 3. Encourage the child to follow you around the room hopping on both feet. ",Headband with bunny ears,[Image: Plush bunny ears],[Image: Child jumping with hands on head]
18,Marching Game,Gross Motor,"1. Play a rhythmic ""marching"" song. 2. Encourage the child to lift their knees high with each step. 3. Swing your arms in sync with your legs to show the motion. ",Drum or rhythm sticks,[Image: Small toy drum],[Image: Child marching in a line]
19,Kick Rolling Ball,Gross Motor,1. Stand a few feet away from the child. 2. Gently roll a ball toward their feet. 3. Encourage them to wait for the ball and kick it back to you as it arrives.,Large inflatable ball,[Image: Inflatable beach ball],[Image: Child kicking a moving ball]
20,Follow the Leader,Gross Motor,"1. Walk around the room performing an action (e.g., clapping). 2. Tell the child to ""Do what I do!"". 3. Change the action to something else, like touching your nose or hopping. ",No tools needed,[Image: Leader baton or flag],[Image: Child walking behind parent]
21,Pillow Stepping Path,Gross Motor,1. Place 4-5 firm pillows in a straight or curved line on a carpeted floor. 2. Hold the child's hands as they step from one pillow to the next. 3. Encourage them to maintain balance on the uneven surface until they reach the end.,Firm floor pillows or cushions,[Image: Various colorful pillows],[Image: Child stepping on a pillow path]
22,Run and Stop Game,Gross Motor,"1. Stand at one end of a clear room. 2. Tell the child to run toward you when you say ""Go!"". 3. Shout ""Stop!"" and show them how to freeze in place, then repeat the cycle.","Handheld ""Stop/Go"" sign",[Image: Red and green paper sign],[Image: Child freezing in a running pose]
23,Toy Push Across Floor,Gross Motor,"1. Place a weighted laundry basket or a large toy box on a smooth floor. 2. Show the child how to place both hands on the side. 3. Encourage them to use their legs to push the object across the room to a ""finish line.""",Weighted laundry basket or box,[Image: Plastic laundry basket],[Image: Child pushing a heavy box]
