Week,Domain,Activity1,Activity2,Activity3
1,Fine Motor,Shape Tracing,Peg Board Insert,Ring Stack Toy
2,Speech & Language,Nursery Rhyme Actions,Face Talking,Where Is The Toy
3,Cognitive,Pattern Copy,Cause Effect Toy,Stack And Knock
4,Social & Emotional,Sharing Snack,Family Photo Talk,Name Response
5,Sensory,Cold Spoon Touch,Feather Touch,Ice Touch
6,Self Help,Brushing Teeth,Hand Washing,Laundry Help
7,Gross Motor,Follow the Leader,Ball Throw,Run and Stop Game
8,Fine Motor,Ring Stack Toy,Sponge Squeeze,Spoon Transfer
9,Speech & Language,Describe The Toy,Echo Word Game,Question Game
10,Cognitive,Cup Hide Game,Toy Sequence,Pattern Clap
11,Social & Emotional,Clap Together,Give and Take,Care For Teddy
12,Sensory,Texture Path Crawl,Water Pouring,Bubble Pop
13,Self Help,Brushing Teeth,Shoes Near Door,Toy Cleanup
14,Gross Motor,Pillow Stepping Path,Tummy Time,Step Over Objects
15,Fine Motor,Flip Book Pages,Shape Tracing,Block Stacking
16,Speech & Language,Object Naming,Animal Sound Game,Question Game
17,Cognitive,Peekaboo,Sound Guess,Pattern Clap
18,Social & Emotional,Pretend Cooking,Mirror Smile,Pretend Feeding
19,Sensory,Ice Touch,Bottle Sound Shake,Water Splash
20,Self Help,Shoes Near Door,Laundry Help,Hold Napkin
21,Gross Motor,Pillow Stepping Path,Tummy Time,Toy Push Across Floor
22,Fine Motor,Cloth Peg Pinch,Paper Tear Play,Spoon Transfer
23,Speech & Language,Talking Mirror,Two Word Prompt,Story Retelling
24,Cognitive,Sorting Basket,Cup Hide Game,High Contrast Cards
25,Social & Emotional,Mirror Smile,Thank You Practice,Group Song Time
26,Sensory,Texture Walk,Rolling Ball Feel,Rice Bin Dig
27,Self Help,Toy Shelf Return,Simple Dressing,Place Book On Shelf
28,Gross Motor,Toy Push Across Floor,Hop Like Bunny,Obstacle Walk
29,Fine Motor,Finger Painting,Tape Pull Game,Pipe Cleaner Threading
30,Speech & Language,Describe The Toy,Face Talking,Two Word Prompt
31,Cognitive,Shadow Matching,Sound Guess,Cause Effect Toy
32,Social & Emotional,Wave Hello,Family Photo Talk,Help Carry Toy
33,Sensory,Fabric Rub Game,Sand Play,Corn Flour Play
34,Self Help,Pick Up Cloth,Finger Feeding,Trash In Bin
35,Gross Motor,Cushion Climb,Tiptoe Walk,Stair Crawling
36,Fine Motor,Puzzle Placement,Sticker Peeling,Cloth Peg Pinch
37,Speech & Language,Rhyming Sounds,Song Repetition,Nursery Rhyme Actions
38,Cognitive,Stack And Knock,Stack Order Game,Cup Hide Game
39,Social & Emotional,Smile Exchange,Toy Sharing,Role Play Shopping
40,Sensory,Foam Play,Bubble Pop,Bottle Sound Shake
41,Self Help,Toy Shelf Return,Pick Up Cloth,Hat On Off
42,Gross Motor,Ball Kick Game,Tunnel Crawl,Mini Hurdle Walk
43,Fine Motor,Sticker Peeling,Rubber Band Board,Sponge Squeeze
44,Speech & Language,Rhyming Sounds,Body Part Naming,Picture Pointing
45,Cognitive,Shape Sorting,Sorting Basket,Shadow Matching
46,Social & Emotional,Wave Hello,Sharing Snack,Thank You Practice
47,Sensory,Scent Smell Game,Fabric Rub Game,Grass Walk
48,Self Help,Spoon In Sink,Hand Washing,Toy Shelf Return
49,Gross Motor,Pillow Stepping Path,Tummy Time,Ball Dribble Push
50,Fine Motor,Large Bead Threading,Rattle Grip,Pipe Cleaner Threading
51,Speech & Language,Repeat After Me,Where Is The Toy,Sound Search
52,Cognitive,Simple Puzzle,Build Tower Challenge,Pattern Copy
53,Social & Emotional,Pretend Cooking,Clap Together,Goodbye Wave
54,Sensory,Sound Shake,Playdough Press,Light Shadow Play
55,Self Help,Snack Plate Carry,Wipe Table Try,Put Toys In Box
56,Gross Motor,Toy Push Across Floor,Crawling Toy Chase,Jump and Land
57,Fine Motor,Lid Open Close,Large Bead Threading,Pom Pom Pick Up
58,Speech & Language,Simple Choice Question,Sing and Pause,Picture Pointing
59,Cognitive,Find The Pair,Color Sorting,Treasure Hunt
60,Social & Emotional,Tickle Game,Pretend Cooking,Family Photo Talk
61,Sensory,Water Drip Watch,Texture Path Crawl,Water Splash
62,Self Help,Sock Removal,Place Book On Shelf,Towel Drying
63,Gross Motor,Stair Crawling,Balance Line Walk,Rolling Reach
64,Fine Motor,Rattle Grip,Sticker Peeling,Lid Open Close
65,Speech & Language,Simple Choice Question,Face Talking,Name That Toy
66,Cognitive,Treasure Hunt,Find The Pair,Category Sort
67,Social & Emotional,Ball Turn Taking,Friend Doll Play,Tickle Game
68,Sensory,Baby Massage,Bubble Catch,Water Pouring
69,Self Help,Put Cup On Table,Brushing Teeth,Wipe Table Try
70,Gross Motor,Toy Push Across Floor,Follow the Leader,Obstacle Walk
71,Fine Motor,Sticker Peeling,Large Bead Threading,Flip Book Pages
72,Speech & Language,Name That Toy,Object Naming,Rhyming Sounds
73,Cognitive,Hidden Toy Search,Shape Sorting,Category Sort
74,Social & Emotional,Help Carry Toy,Give and Take,Sharing Snack
75,Sensory,Playdough Press,Grass Walk,Baby Massage
76,Self Help,Put Toys In Box,Trash In Bin,Toy Shelf Return
77,Gross Motor,Tummy Time,Push Walker Practice,Animal Walk Game
78,Fine Motor,Velcro Pull Game,Paper Crumple Game,Spoon Transfer
79,Speech & Language,Object Request Game,Word Expansion,Emotion Naming
80,Cognitive,Simple Puzzle,Shadow Matching,Which Is Bigger
